"","b01001001","b01001a001","b01001b001","b15002003","b15002004","b15002005","b15002006","b15002007","b15002008","b15002009","b15002010","b15002011","b15002012","b15002013","b15002014","b15002015","b15002016","b15002017","b15002018","b19013001","gid","place"
"177",51087,24051,23038,311,66,178,248,577,800,828,489,5904,1157,1862,811,869,161,52,51,27630,"16000US2670520","saginaw"
"178",9879277,7835838,1387599,34061,9139,18865,49920,42921,74629,87624,55350,985126,239334,519076,230289,498786,213946,66786,41443,47175,"04000US26","swmi"
"179",9879277,7835838,1387599,34061,9139,18865,49920,42921,74629,87624,55350,985126,239334,519076,230289,498786,213946,66786,41443,47175,"04000US26","up"
"180",86221,78652,2178,168,16,19,364,302,350,373,250,6257,1815,4828,2520,5432,1418,969,558,40606,"16000US2717000","duluth"
"181",39707,35644,NA,57,96,27,76,84,150,113,124,2550,591,1921,802,2240,670,257,254,40309,"16000US2739878","mankato"
"182",5345721,4582631,280757,14152,4903,9840,26967,16198,22731,27333,24311,483169,109598,272622,167858,376560,118428,44241,25237,58434,"04000US27","minneapolis"
"183",108024,89377,6777,232,68,71,414,347,485,447,487,7550,2146,4672,3849,8061,3307,1975,974,61547,"16000US2754880","rochestermn"
"184",65838,55206,5559,199,54,13,544,61,273,338,490,5029,1659,3750,2017,3104,1148,489,450,42140,"16000US2756896","stcloud"
"185",44288,31472,8265,45,110,603,190,245,234,456,158,3717,1177,2148,1646,2151,824,249,208,37826,"16000US2806220","biloxi"
"186",47239,20185,25356,155,28,276,198,620,442,402,464,2794,567,2053,662,2126,923,368,460,24064,"16000US2831020","hattiesburg"
