"","location","City","State","B01001_001","B19013_001","B01001A_001","B01001B_001","B15002_003","B15002_004","B15002_005","B15002_006","B15002_007","B15002_008","B15002_009","B15002_010","B15002_011","B15002_012","B15002_013","B15002_014","B15002_015","B15002_016","B15002_017","B15002_018"
"1679","Clearwater, FL, USA","Clearwater","FL",107809,41986,90438,11129,309,244,392,720,548,749,1016,762,10536,2351,5242,2755,6898,2316,990,412
"1681","Bordentown Township, NJ, USA","Bordentown Township","NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1682","Hayward, CA, USA","Hayward","CA",142936,62115,52674,16291,1222,593,2238,1437,968,728,1108,1362,13386,2375,6847,3044,7281,2016,334,238
"1683","Corpus Christi, TX, USA","Corpus Christi","TX",302113,45267,253982,13366,1710,996,2067,2269,2323,2352,3201,1832,25092,6454,17399,6226,12381,4591,1664,1133
"1685","Adelanto, CA, USA","Adelanto","CA",30670,42208,17025,6479,225,236,463,339,242,237,547,335,2411,595,1396,499,271,149,14,6
"1686","West, Denver, CO, USA","West","CO",29071,63640,25613,500,87,23,24,32,126,134,152,107,2211,858,1889,838,1714,607,82,201
"1687","Waikīkī, Honolulu, HI, USA","Waikīkī","HI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1143","Tampa Bay, Florida, USA","Tampa Bay","Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1691","Citrus Heights, CA, USA","Citrus Heights","CA",84112,54575,69171,2517,257,195,565,244,231,400,502,804,7243,2687,5981,2711,3619,856,224,91
"1692","Sacramento, CA, USA","Sacramento","CA",463537,50781,228608,64409,4244,1906,3687,3536,2167,3026,3365,4047,29974,9029,23290,10953,26639,8432,4310,2008
"1146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1147","Bradenton, FL, USA","Bradenton","FL",50272,41877,38418,7500,145,124,585,640,287,487,554,316,4960,1051,2340,1093,2270,882,342,184
"1695","Topanga, CA, USA","Topanga","CA",9065,127167,8062,330,0,0,0,0,0,22,0,34,373,150,389,213,1046,570,212,149
"1696","Willimantic, Windham, CT, USA","Willimantic","CT",17495,38918,12746,892,89,108,206,197,117,125,129,130,1557,115,518,182,506,266,95,109
"1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1151","Spotswood, NJ, USA","Spotswood","NJ",8218,72817,7571,210,0,0,36,49,74,9,179,38,959,174,251,64,328,171,44,31
"1699","Saint Paul, MN, USA","Saint Paul","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1701","O'Fallon, MO, USA","O'Fallon","MO",77036,77739,68226,4569,61,19,47,168,227,259,179,349,5413,1421,3570,1903,6158,1975,339,238
"1154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1155","Long Island, New York, USA","Long Island","New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1706","Terre Haute, IN, USA","Terre Haute","IN",4765,38929,4640,41,14,0,0,0,0,34,74,75,733,64,280,125,127,56,16,8
"1707","Clifton, NJ, USA","Clifton","NJ",83274,63106,56858,4157,483,113,286,711,276,454,385,637,9504,1492,3666,1330,5714,1959,712,258
"1158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1160","Pembroke Pines, FL, USA","Pembroke Pines","FL",153533,61873,103493,30695,449,180,675,488,351,454,794,1080,12029,3040,7489,4830,9847,4239,1003,687
"1712","Michigan, USA","Michigan","Michigan",9920621,48669,7869573,1395245,29743,10437,21211,53738,45981,79733,89376,58358,981042,242114,502293,223292,493863,212902,69136,40732
"1713","Raleigh, NC, USA","Raleigh","NC",395091,52819,236068,117292,724,741,3065,1251,1844,1807,1627,1032,19126,5313,16286,7419,36949,12276,3920,3311
"1163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1165","West Columbia, SC, USA","West Columbia","SC",14937,46331,11772,2360,0,65,95,203,185,198,147,178,1459,234,500,283,1067,429,113,146
"1719","Washington, DC, USA","Washington","DC",593955,61835,231122,308516,2457,1926,2646,3558,3307,3504,4694,3129,36556,5826,19621,5148,43929,29107,16964,8650
"1720","Battle Creek, MI, USA","Battle Creek","MI",52534,38760,37874,9879,46,65,197,207,318,358,604,303,5206,1422,2545,1071,1935,763,255,111
"1721","San Diego Northern Railway, CA, USA","San Diego Northern Railway","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1170","Daytona Beach, FL, USA","Daytona Beach","FL",62186,29533,36369,22270,95,49,265,420,421,536,732,610,6204,1281,3109,1695,3049,1041,394,60
"1171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1172","Zionsville, IN, USA","Zionsville","IN",22618,101712,21170,445,0,33,0,0,9,6,54,0,602,355,686,388,2154,1085,946,382
"1727","Deltona, FL, USA","Deltona","FL",84712,50420,63477,8225,311,143,252,475,550,921,763,983,9848,1917,5249,2141,2276,1019,231,84
"1728","Maitland, FL, USA","Maitland","FL",15818,74974,12634,1186,16,14,13,16,32,37,14,77,676,140,541,354,1817,925,496,186
"1729","Weslaco, TX, USA","Weslaco","TX",35217,36424,26723,28,518,407,556,545,220,275,215,163,2781,485,1326,443,901,434,174,76
"1176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1177","Bangor, ME, USA","Bangor","ME",32963,37707,30797,477,113,86,79,235,128,199,195,175,3321,706,1401,790,1518,763,449,147
"1738","Clinton, MD, USA","Clinton","MD",35881,98356,4974,28343,32,27,79,198,318,294,145,186,3516,848,2556,713,1491,490,180,152
"1739","San Marcos, TX, USA","San Marcos","TX",44486,27597,31689,2285,74,139,268,185,189,259,174,84,2448,447,1668,310,2169,353,56,193
"1740","West Seymour Road, IN, USA","West Seymour Road","IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1741","Pasco County, FL, USA","Pasco County","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1184","Southern Maryland, MD, USA","Southern Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1188","Oklahoma City, OK, USA","Oklahoma City","OK",572742,44973,379436,83022,2203,2035,5008,3526,3723,4139,4945,3084,45554,11490,32308,9465,33551,10434,5004,2107
"1751","Morris County, NJ, USA","Morris County","NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1752","Orlando, FL, USA","Orlando","FL",236532,42755,138029,65854,843,838,1179,1505,1183,1862,1651,1614,20299,3591,10223,6633,16084,4646,2149,936
"1753","Edina, MN, USA","Edina","MN",47790,80652,42030,1295,41,0,42,70,25,45,80,18,1369,393,1809,665,5800,2690,1717,515
"1754","Klamath Falls, OR, USA","Klamath Falls","OR",20881,33411,18047,123,41,0,113,72,20,250,246,143,1777,465,1184,630,954,346,141,123
"1755","Aspen Hill, MD, USA","Aspen Hill","MD",48352,76479,22934,11900,285,141,473,293,419,230,180,175,2779,588,2172,628,3546,1728,583,623
"1756","San Francisco Bay Area, CA, USA","San Francisco Bay Area","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1757","Treasure Island, FL, USA","Treasure Island","FL",6783,53906,6404,0,10,0,0,14,0,50,45,23,791,160,404,242,795,224,218,154
"1758","Beaverton, OR, USA","Beaverton","OR",89160,55115,64380,1688,141,186,234,304,406,345,393,217,4850,1311,4695,2241,8499,3382,512,777
"1759","DeLand, FL, USA","DeLand","FL",26751,36527,19657,5060,126,57,86,140,132,149,282,81,2039,426,1092,603,1169,560,171,359
"1760","M, WI, USA","M","WI",776,55982,752,0,0,0,0,4,0,0,3,0,97,22,48,18,42,10,6,7
"1762","Garland, TX, USA","Garland","TX",225424,52441,107894,32415,1337,1677,3718,2027,3035,1570,2313,1713,15488,4192,9931,4625,10314,3397,591,473
"1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1201","El Cerrito, CA, USA","El Cerrito","CA",23482,83933,13683,1684,102,0,70,46,47,33,51,107,1016,229,1020,310,2599,1669,452,568
"1202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1204","West Fargo, ND, USA","West Fargo","ND",24768,62555,22599,689,104,0,0,246,42,45,19,93,2050,573,1620,1073,1662,417,46,92
"1205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1206","Oklahoma City, OK, USA","Oklahoma City","OK",572742,44973,379436,83022,2203,2035,5008,3526,3723,4139,4945,3084,45554,11490,32308,9465,33551,10434,5004,2107
"1771","Arvada, CO, USA","Arvada","CO",105768,67302,95452,740,248,114,104,189,264,436,625,679,8429,2516,5863,2603,8223,2900,615,463
"1772","Dupont Circle, Washington, DC, USA","Dupont Circle","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1773","Braddock, PA, USA","Braddock","PA",2268,22283,493,1745,14,0,0,17,0,10,61,0,287,48,55,29,40,3,13,0
"1775","Burlingame, CA, USA","Burlingame","CA",28514,79760,20211,407,42,66,181,16,133,10,8,50,1427,433,1501,577,3056,1329,653,502
"1777","Conroe, TX, USA","Conroe","TX",55346,46213,45110,5670,224,287,1175,462,894,344,624,966,4387,980,2049,745,2459,564,309,22
"1778","El Monte, CA, USA","El Monte","CA",113763,41820,44117,925,2169,1394,4570,1329,2143,1255,1034,1645,9097,1063,3256,1496,3106,447,203,126
"1781","Milwaukee, WI, USA","Milwaukee","WI",591957,35851,280682,232654,2591,1753,4171,4254,4059,5037,7409,4210,52725,9021,24671,9744,23518,7423,2507,1336
"1782","Lawrenceville, GA, USA","Lawrenceville","GA",28234,46941,12403,9468,118,251,299,158,289,193,149,236,2287,418,1115,577,1085,268,124,20
"1215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1216","Monroe, MI, USA","Monroe","MI",20977,44054,18873,1266,44,46,22,167,157,144,181,103,2099,490,1099,619,860,256,28,54
"1787","St. Augustine, FL, USA","St. Augustine","FL",13021,38325,10665,1880,37,7,64,43,93,60,182,83,810,192,759,177,1025,262,167,54
"1790","Romulus, MI, USA","Romulus","MI",23867,44298,11806,10191,122,25,77,152,115,205,316,194,3112,737,1068,379,390,187,38,21
"1791","Fort Bragg, NC, USA","Fort Bragg","NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1792","Marina del Rey, CA, USA","Marina del Rey","CA",8840,91218,6941,644,0,0,0,0,0,15,0,12,325,22,667,183,1413,825,266,186
"1221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1222","Sugar Land, TX, USA","Sugar Land","TX",77935,103265,40926,6036,250,97,100,124,178,334,278,369,2437,813,3712,1186,8382,4218,1100,1054
"1223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1224","Hallandale Beach, FL, USA","Hallandale Beach","FL",36956,34645,26790,7554,214,15,484,472,232,227,228,512,3930,634,1695,1111,2414,676,533,59
"1225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1227","Monroe, LA, USA","Monroe","LA",49119,29051,16206,31578,326,38,267,381,398,272,783,149,3579,679,2040,345,2179,531,470,264
"1228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1229","Perris, CA, USA","Perris","CA",65993,49812,28887,8153,709,458,1531,661,588,377,775,1023,4841,1059,2002,752,1066,292,69,22
"1802","North Fort Myers, FL, USA","North Fort Myers","FL",40087,39754,38841,500,133,52,44,260,247,348,482,582,6202,1122,2259,1045,1961,732,288,173
"1803","Punta Gorda, FL, USA","Punta Gorda","FL",16652,59090,15283,433,47,19,56,40,14,85,89,109,1583,341,1181,437,1656,515,432,122
"1804","Fultondale, AL, USA","Fultondale","AL",8204,41990,6139,1080,16,72,17,131,71,57,165,68,725,164,346,113,476,86,25,0
"1805","Aspen, CO, USA","Aspen","CO",6509,74509,6322,0,0,0,1,0,1,0,0,5,230,1,390,237,1302,307,195,30
"1807","Bothell, WA, USA","Bothell","WA",33124,70935,27229,272,56,13,162,50,34,25,183,201,2136,715,1551,897,3309,1503,307,148
"1808","Ferndale, MI, USA","Ferndale","MI",20155,50174,16795,1956,58,23,26,28,56,167,123,143,1577,596,1524,381,1700,735,167,96
"1236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1237","White Lake Township, MI, USA","White Lake Township","MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1812","Slidell, LA, USA","Slidell","LA",27163,49031,21440,3864,64,50,65,189,215,163,322,81,2163,634,1879,522,1290,500,84,81
"1813","Brooksville, FL, USA","Brooksville","FL",7860,31821,5589,2048,29,10,34,94,22,87,62,39,736,233,363,97,207,75,0,15
"1240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1241","Spring Lake, NJ, USA","Spring Lake","NJ",3049,107723,3000,0,0,0,0,0,0,0,0,0,118,46,100,27,301,314,90,20
"1817","Renton, WA, USA","Renton","WA",12087,88411,10127,186,2,7,16,0,18,0,25,66,808,510,690,410,1011,453,43,81
"1818","Bradenton, FL, USA","Bradenton","FL",50272,41877,38418,7500,145,124,585,640,287,487,554,316,4960,1051,2340,1093,2270,882,342,184
"1819","Denver, CO, USA","Denver","CO",590507,47499,434767,59945,2644,2450,5784,4169,4369,3521,4456,3699,40660,9859,27262,9383,50007,20511,8803,3259
"1820","Syracuse, NY, USA","Syracuse","NY",3080,34191,2779,68,19,0,16,40,0,45,133,46,330,93,117,147,109,18,0,1
"1246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1247","Hypoluxo, FL, USA","Hypoluxo","FL",2546,51952,2109,364,0,0,0,0,0,14,49,20,183,31,41,81,290,56,21,10
"1825","Coral Gables, FL, USA","Coral Gables","FL",46442,88167,42312,1544,108,49,63,57,39,56,58,129,1021,254,1076,921,3857,2448,2219,975
"1826","Germantown, MD, USA","Germantown","MD",85192,87765,41070,18588,303,150,429,204,315,204,194,271,3908,1440,3936,1715,7150,3908,745,1122
"1827","Corona, CA, USA","Corona","CA",152111,79877,100042,8746,458,640,1702,714,861,796,1326,1399,9455,3326,8209,3917,7733,2160,863,299
"1828","Space Coast Parkway, FL, USA","Space Coast Parkway","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1829","Grand Forks, ND, USA","Grand Forks","ND",52403,41661,47287,1102,151,47,11,263,135,197,135,161,3363,778,2721,1357,2962,1161,367,474
"1832","Knoxville, TN, USA","Knoxville","TN",179085,33467,140287,29961,844,418,475,1075,854,1463,1539,895,14417,3450,6992,4175,10114,3431,1927,1346
"1833","O'Hare, Chicago, IL, USA","O'Hare","IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1834","Garden Grove, CA, USA","Garden Grove","CA",170148,60036,73457,2052,2097,650,2467,1531,1767,1148,1352,2799,12610,3232,8678,3870,8337,1766,452,253
"1256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1259","West Los Angeles, Los Angeles, CA, USA","West Los Angeles","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1840","Metro, USA","Metro","Metro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1262","Allen, TX, USA","Allen","TX",81326,98745,59290,7163,114,120,74,166,113,55,125,189,2728,1287,3437,1844,7835,4029,553,574
"1263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1264","Detroit, MI, USA","Detroit","MI",738223,27862,83568,608183,3954,1546,4054,5884,6055,9934,14069,5692,75917,13384,33805,10005,12804,5288,1736,1150
"1847","Farmington, NM, USA","Farmington","NM",45023,52980,29802,481,96,51,266,303,228,272,516,363,4119,676,2561,1152,1726,829,243,157
"1848","Milpitas, CA, USA","Milpitas","CA",66038,94589,14415,2329,263,157,310,187,343,250,647,533,4542,1149,2893,2169,6014,2942,171,492
"1849","Louisville and Nashville Railroad, TN, USA","Louisville and Nashville Railroad","TN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1850","Charlotte, NC, USA","Charlotte","NC",722234,53146,386004,248608,2501,2255,5004,2904,3883,4368,5307,3411,45432,10120,31307,14127,59983,19748,6520,2650
"1851","Saginaw, MI, USA","Saginaw","MI",52525,27445,24963,24062,366,120,136,284,566,740,854,424,5653,1263,1849,675,1127,292,39,65
"1852","Long Island, New York, USA","Long Island","New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1853","Lombard, IL, USA","Lombard","IL",43031,72706,35382,2013,68,27,227,64,95,102,70,315,2831,961,2112,693,4827,1117,459,135
"1854","Edmond, OK, USA","Edmond","OK",80048,69843,67002,5224,183,40,53,72,81,191,99,234,3265,903,4193,934,7914,2995,1336,861
"1273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1274","Marina del Rey, CA, USA","Marina del Rey","CA",8840,91218,6941,644,0,0,0,0,0,15,0,12,325,22,667,183,1413,825,266,186
"1860","South San Francisco, CA, USA","South San Francisco","CA",62822,75543,26046,1491,447,144,560,346,260,455,398,550,4495,1181,3557,2165,4707,1052,299,435
"1276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1277","Wyandotte, MI, USA","Wyandotte","MI",26073,50009,25017,374,68,11,50,228,58,353,229,243,3563,624,1430,831,1041,307,57,10
"1863","San Francisco, CA, USA","San Francisco","CA",797983,72947,408857,49260,5397,3421,7303,5805,4528,4301,3433,6245,45879,9877,37875,17059,97570,40568,15911,8783
"1864","Temple Hills, MD, USA","Temple Hills","MD",7889,56583,323,7229,0,0,0,2,77,12,96,60,717,166,339,112,164,73,35,41
"1866","Iowa City, IA, USA","Iowa City","IA",67506,41956,56777,3367,40,19,11,178,161,44,37,152,2301,567,2440,956,4361,2580,921,1762
"1869","Westminster, CA, USA","Westminster","CA",89440,56867,35833,753,1142,447,1145,574,722,693,776,1527,6911,1554,4929,2516,4927,996,357,208
"1870","St. Louis, MO, USA","St. Louis","MO",14231,77716,12867,395,0,0,0,105,0,37,15,25,834,281,815,433,1592,730,102,101
"1871","Humble, TX, USA","Humble","TX",15105,39760,9422,2905,24,91,311,71,109,173,106,122,1357,201,897,193,648,148,0,34
"1872","Laguna Beach Unified, CA, USA","Laguna Beach Unified","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1286","Bethesda, MD, USA","Bethesda","MD",58661,136513,49860,1679,22,2,22,32,18,28,14,71,683,274,958,300,5079,4475,4095,2791
"1877","Fountain Valley, CA, USA","Fountain Valley","CA",55209,81661,30838,762,213,20,265,184,127,163,232,351,3200,1267,3451,1777,5148,1821,651,201
"1288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1289","Brentwood, TN, USA","Brentwood","TN",36392,127596,33041,1128,69,0,0,43,9,8,29,40,799,211,1293,326,4736,2103,1119,471
"1880","New Jersey, USA","New Jersey","New Jersey",8753064,71180,6095247,1180649,28793,24408,46849,55583,37407,53113,56485,52905,809442,139358,339058,147919,617379,263750,85919,51633
"1882","Richfield, MN, USA","Richfield","MN",35053,52131,25375,3739,242,63,360,240,258,283,123,205,2592,968,1752,950,2566,803,262,91
"1883","Merrimack, NH, USA","Merrimack","NH",4311,55228,4146,79,1,0,8,82,0,18,25,31,492,36,203,87,314,88,0,16
"1884","Morristown, NJ, USA","Morristown","NJ",18474,62600,13368,2968,271,97,82,264,44,166,74,134,1598,162,568,298,1349,496,175,119
"1885","Bismarck, ND, USA","Bismarck","ND",60831,50062,56513,323,71,31,22,537,147,198,326,180,4801,1193,2963,2609,4590,1246,463,270
"1295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1296","Stamford, CT, USA","Stamford","CT",121784,78201,72637,18056,366,734,1805,807,610,527,579,643,9097,1376,3727,2054,10444,6180,1775,731
"1888","Brooklyn Center, MN, USA","Brooklyn Center","MN",29949,48083,14113,8743,358,64,194,245,126,194,122,241,2630,514,1523,868,1336,248,77,8
"1298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1299","Kemah, TX, USA","Kemah","TX",2160,66429,1747,40,28,5,10,15,0,28,12,23,151,37,197,13,167,19,7,10
"1892","West Carrollton, OH, USA","West Carrollton","OH",13215,41312,11445,1333,8,11,18,63,60,62,124,104,1641,403,669,292,669,135,38,0
"1893","Winder, GA, USA","Winder","GA",13959,40972,9935,2969,106,84,90,153,171,235,86,62,1254,159,736,265,328,129,53,0
"1894","East Rutherford, NJ, USA","East Rutherford","NJ",8875,65813,5980,175,0,0,22,27,29,90,15,69,822,177,619,219,854,227,86,16
"1895","San Bernardino, CA, USA","San Bernardino","CA",210100,40161,94041,31257,1857,1332,3124,1638,2570,2092,3091,2793,16344,3525,7392,3891,4393,1464,451,290
"1897","Gaithersburg, MD, USA","Gaithersburg","MD",59037,81118,31496,9230,170,358,316,154,364,114,149,271,2237,427,2650,1131,5322,2932,748,1326
"1898","Gillette, WY, USA","Gillette","WY",28063,74404,25761,179,17,60,52,215,41,156,180,58,3258,556,1706,1014,1167,389,87,42
"1899","Pleasanton, CA, USA","Pleasanton","CA",69220,118713,47055,1733,178,120,32,68,178,37,135,189,2719,816,2746,1913,7209,3770,784,1186
"1900","DTC Boulevard, Denver, CO, USA","DTC Boulevard","CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1901","Wichita Falls, TX, USA","Wichita Falls","TX",103973,42559,80162,13696,334,200,622,1138,1020,1139,1415,359,10524,2228,4747,1978,4137,1342,639,498
"1309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1310","New Port Richey, FL, USA","New Port Richey","FL",15321,29164,14092,282,46,0,98,122,73,243,182,74,2378,532,668,422,398,103,34,45
"1904","San Luis Obispo, CA, USA","San Luis Obispo","CA",45130,42528,37528,704,98,43,164,130,108,142,213,246,1703,571,1475,1051,2763,1162,355,675
"1905","Thornton, CO, USA","Thornton","CO",115683,66827,94184,2247,238,80,516,681,360,742,1144,993,9492,2302,5950,3210,6762,2051,303,272
"1907","New Brunswick, NJ, USA","New Brunswick","NJ",54500,40528,32935,8970,240,531,1531,679,619,223,353,189,4409,238,889,286,1470,417,217,180
"1908","St. Augustine, FL, USA","St. Augustine","FL",13021,38325,10665,1880,37,7,64,43,93,60,182,83,810,192,759,177,1025,262,167,54
"1909","Johnston County, NC, USA","Johnston County","NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1910","Bradenton, FL, USA","Bradenton","FL",50272,41877,38418,7500,145,124,585,640,287,487,554,316,4960,1051,2340,1093,2270,882,342,184
