Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,Extracted Name
Hamiliton County Sheriff Department,FL,12,,38.0,0,0.0,2,36,245.0,107,128.0,10,,,,,,,,,,hamiliton county
Hardee County Sheriff Department,FL,12,,54.0,1,8.0,9,36,505.0,148,326.0,31,,,,,,,,,,hardee county
Harrington Police Dept,FL,12,3659.0,28.0,0,2.0,2,24,191.0,57,129.0,5,765.2,0.0,54.7,54.7,655.9,5220.0,1557.8,3525.6,136.6,harrington
Hartford Police Dept,FL,12,125203.0,1655.0,23,27.0,640,965,5319.0,1050,3467.0,802,1321.9,18.4,21.6,511.2,770.7,4248.3,838.6,2769.1,640.6,hartford
Havana Police Dept,FL,12,1767.0,16.0,1,2.0,1,12,41.0,8,32.0,1,905.5,56.6,113.2,56.6,679.1,2320.3,452.7,1811.0,56.6,havana
Hendry County Sheriff Department,FL,12,,201.0,0,15.0,24,162,988.0,489,452.0,47,,,,,,,,,,hendry county
Hernando County Sheriff Department,FL,12,,437.0,2,40.0,49,346,4168.0,1184,2830.0,154,,,,,,,,,,hernando county
Hialeah Police Dept,FL,12,233107.0,810.0,4,40.0,260,506,7194.0,1048,5409.0,737,347.5,1.7,17.2,111.5,217.1,3086.1,449.6,2320.4,316.2,hialeah
Hialeah Gardens Police Dept,FL,12,22561.0,28.0,0,0.0,10,18,933.0,95,782.0,56,124.1,0.0,0.0,44.3,79.8,4135.5,421.1,3466.2,248.2,hialeah gardens
High Springs Police Dept,FL,12,5465.0,30.0,0,4.0,5,21,165.0,44,113.0,8,548.9,0.0,73.2,91.5,384.3,3019.2,805.1,2067.7,146.4,high springs
Highland Beach Police Dept,FL,12,3629.0,0.0,0,0.0,0,0,44.0,12,30.0,2,0.0,0.0,0.0,0.0,0.0,1212.5,330.7,826.7,55.1,highland beach
Highlands County Sheriff Department,FL,12,,203.0,3,19.0,40,141,1908.0,689,1123.0,96,,,,,,,,,,highlands county
Hillsboro Beach Police Dept,FL,12,1936.0,0.0,0,0.0,0,0,31.0,9,21.0,1,0.0,0.0,0.0,0.0,0.0,1601.2,464.9,1084.7,51.7,hillsboro beach
Hillsborough County Sheriff Department,FL,12,,2152.0,28,116.0,495,1513,17903.0,4143,12707.0,1053,,,,,,,,,,hillsborough county
Holly Hill Police Dept,FL,12,11822.0,66.0,1,3.0,12,50,635.0,133,433.0,69,558.3,8.5,25.4,101.5,422.9,5371.3,1125.0,3662.7,583.7,holly hill
Hollywood Police Dept,FL,12,145313.0,643.0,5,38.0,278,322,7713.0,1958,5095.0,660,442.5,3.4,26.2,191.3,221.6,5307.9,1347.4,3506.2,454.2,hollywood
Holmes County Sheriff Department,FL,12,,42.0,1,4.0,3,34,208.0,74,120.0,14,,,,,,,,,,holmes county
Holmes Beach Police Dept,FL,12,3941.0,9.0,0,0.0,1,8,143.0,47,95.0,1,228.4,0.0,0.0,25.4,203.0,3628.5,1192.6,2410.6,25.4,holmes beach
Holyoke Police Dept,FL,12,2322.0,0.0,0,0.0,0,0,10.0,3,6.0,1,0.0,0.0,0.0,0.0,0.0,430.7,129.2,258.4,43.1,holyoke
Homestead Police Dept,FL,12,62785.0,1045.0,4,33.0,315,693,3216.0,877,2151.0,188,1664.4,6.4,52.6,501.7,1103.8,5122.2,1396.8,3426.0,299.4,homestead
Hotchkiss Town Police Dept,FL,8,942.0,2.0,0,1.0,0,1,22.0,3,19.0,0,,,,,,,,,,hotchkiss town
Howey In The Hills Police Dept,FL,12,1133.0,0.0,0,0.0,0,0,5.0,2,3.0,0,0.0,0.0,0.0,0.0,0.0,441.3,176.5,264.8,0.0,howey in the hills
Huerfano County Sheriff Department,FL,12,,1.0,0,0.0,0,1,16.0,3,4.0,9,,,,,,,,,,huerfano county
Hugo Marshal'S Office,FL,2,739.0,1.0,0,0.0,1,0,2.0,2,0.0,0,,,,,,,,,,hugo marshal's office
Hypoluxo,FL,12,2654.0,2.0,0,0.0,2,0,46.0,16,29.0,1,75.4,0.0,0.0,75.4,0.0,1733.2,602.9,1092.7,37.7,hypoluxo
Idaho Springs Police Dept,FL,12,1726.0,7.0,0,0.0,1,6,71.0,10,57.0,4,405.6,0.0,0.0,57.9,347.6,4113.6,579.4,3302.4,231.7,idaho springs
Ignacio Town Police Dept,FL,12,721.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ignacio town
Indialantic Police Dept,FL,12,2758.0,6.0,0,0.0,2,4,64.0,8,53.0,3,217.5,0.0,0.0,72.5,145.0,2320.5,290.1,1921.7,108.8,indialantic
Indian Creek Police Dept,FL,12,89.0,0.0,0,0.0,0,0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,1123.6,0.0,1123.6,0.0,indian creek
Indian Harbour Beach Police Dept,FL,12,8340.0,10.0,0,3.0,3,4,162.0,27,129.0,6,119.9,0.0,36.0,36.0,48.0,1942.4,323.7,1546.8,71.9,indian harbour beach
Indian River County Sheriff Department,FL,12,,319.0,1,15.0,38,265,2461.0,552,1838.0,71,,,,,,,,,,indian river county
Indian River Shores Public Safety Dept,FL,12,3978.0,1.0,0,0.0,0,1,20.0,4,16.0,0,25.1,0.0,0.0,0.0,25.1,502.8,100.6,402.2,0.0,indian river shores
Indian Rocks Beach Pd,FL,12,4173.0,19.0,0,1.0,1,17,134.0,22,104.0,8,455.3,0.0,24.0,24.0,407.4,3211.1,527.2,2492.2,191.7,indian rocks beach pd
Indian Shores Police Dept,FL,12,1440.0,4.0,0,0.0,0,4,69.0,17,49.0,3,277.8,0.0,0.0,0.0,277.8,4791.7,1180.6,3402.8,208.3,indian shores
Inglis Police Dept,FL,12,1322.0,6.0,0,0.0,0,6,50.0,10,39.0,1,453.9,0.0,0.0,0.0,453.9,3782.1,756.4,2950.1,75.6,inglis
Interlachen Police Dept,FL,12,1415.0,7.0,0,0.0,0,7,79.0,26,52.0,1,494.7,0.0,0.0,0.0,494.7,5583.0,1837.5,3674.9,70.7,interlachen
Jackson County Sheriff Department,FL,11,,2.0,0,0.0,0,2,6.0,2,4.0,0,,,,,,,,,,jackson county
Jackson County Sheriff Department,FL,12,,137.0,0,13.0,12,112,590.0,162,406.0,22,,,,,,,,,,jackson county
Jacksonville,FL,12,840660.0,5189.0,93,341.0,1371,3384,34674.0,7632,25403.0,1639,617.3,11.1,40.6,163.1,402.5,4124.6,907.9,3021.8,195.0,jacksonville
Jacksonville Beach Police Dept,FL,12,21817.0,196.0,1,11.0,43,141,1018.0,147,828.0,43,898.4,4.6,50.4,197.1,646.3,4666.1,673.8,3795.2,197.1,jacksonville beach
Jasper Police Dept,FL,12,4590.0,6.0,0,0.0,1,5,61.0,27,34.0,0,130.7,0.0,0.0,21.8,108.9,1329.0,588.2,740.7,0.0,jasper
Jefferson County Sheriff Department,FL,12,,148.0,1,22.0,11,114,2666.0,471,2083.0,112,,,,,,,,,,jefferson county
Jefferson County Sheriff Department,FL,12,,70.0,0,3.0,4,63,140.0,76,58.0,6,,,,,,,,,,jefferson county
Jennings Police Dept,FL,12,881.0,0.0,0,0.0,0,0,19.0,9,9.0,1,0.0,0.0,0.0,0.0,0.0,2156.6,1021.6,1021.6,113.5,jennings
Johnstown Police Dept,FL,12,10259.0,7.0,0,0.0,0,7,88.0,9,72.0,7,68.2,0.0,0.0,0.0,68.2,857.8,87.7,701.8,68.2,johnstown
Juno Beach Police Dept,FL,12,3257.0,9.0,0,1.0,1,7,76.0,11,63.0,2,276.3,0.0,30.7,30.7,214.9,2333.4,337.7,1934.3,61.4,juno beach
Jupiter Police Dept,FL,12,56674.0,115.0,0,11.0,37,67,1196.0,235,918.0,43,202.9,0.0,19.4,65.3,118.2,2110.3,414.7,1619.8,75.9,jupiter
Jupiter Island Police Dept,FL,12,834.0,0.0,0,0.0,0,0,10.0,6,4.0,0,0.0,0.0,0.0,0.0,0.0,1199.0,719.4,479.6,0.0,jupiter island
Kenneth City Police Dept,FL,12,5052.0,25.0,0,2.0,5,18,190.0,28,157.0,5,494.9,0.0,39.6,99.0,356.3,3760.9,554.2,3107.7,99.0,kenneth city
Kersey Police Dept,FL,12,1509.0,5.0,0,1.0,0,4,21.0,3,14.0,4,331.3,0.0,66.3,0.0,265.1,1391.7,198.8,927.8,265.1,kersey
Key Colony Beach Police Dept,FL,12,817.0,0.0,0,0.0,0,0,14.0,4,10.0,0,0.0,0.0,0.0,0.0,0.0,1713.6,489.6,1224.0,0.0,key colony beach
Key West Police Dept,FL,12,25249.0,208.0,1,21.0,51,135,1546.0,290,1161.0,95,823.8,4.0,83.2,202.0,534.7,6123.0,1148.6,4598.2,376.3,key west
Kiowa County Sheriff Department,FL,12,,2.0,0,0.0,0,2,1.0,0,0.0,1,,,,,,,,,,kiowa county
Kissimmee Police Dept,FL,12,62183.0,563.0,2,34.0,121,406,3112.0,822,2150.0,140,905.4,3.2,54.7,194.6,652.9,5004.6,1321.9,3457.5,225.1,kissimmee
Kit Carson County Sheriff Department,FL,12,,2.0,0,1.0,0,1,25.0,4,18.0,3,,,,,,,,,,kit carson county
La Junta Police Dept,FL,12,7187.0,20.0,0,4.0,2,14,188.0,49,132.0,7,278.3,0.0,55.7,27.8,194.8,2615.8,681.8,1836.6,97.4,la junta
La Salle Police Dept,FL,12,2030.0,2.0,0,0.0,0,2,37.0,5,31.0,1,98.5,0.0,0.0,0.0,98.5,1822.7,246.3,1527.1,49.3,la salle
La Veta Town Police Dept,FL,12,788.0,1.0,0,1.0,0,0,14.0,8,6.0,0,126.9,0.0,126.9,0.0,0.0,1776.6,1015.2,761.4,0.0,la veta town
Lady Lake Town Police Dept,FL,12,14304.0,29.0,0,0.0,2,27,306.0,59,229.0,18,202.7,0.0,0.0,14.0,188.8,2139.3,412.5,1601.0,125.8,lady lake town
Lafayette Police Dept,FL,12,25209.0,54.0,0,7.0,11,36,403.0,70,317.0,16,214.2,0.0,27.8,43.6,142.8,1598.6,277.7,1257.5,63.5,lafayette
Lafayette County Sheriff Department,FL,12,,27.0,1,1.0,1,24,67.0,28,38.0,1,,,,,,,,,,lafayette county
Lake County Sheriff Department,FL,12,,5.0,0,0.0,0,5,29.0,8,20.0,1,,,,,,,,,,lake county
Lake County Sheriff Department,FL,12,,452.0,3,29.0,38,382,3096.0,991,1908.0,197,,,,,,,,,,lake county
Lake Alfred Police Dept,FL,12,5146.0,24.0,1,1.0,1,21,153.0,66,82.0,5,466.4,19.4,19.4,19.4,408.1,2973.2,1282.5,1593.5,97.2,lake alfred
Lake City Police Dept,FL,12,12190.0,179.0,3,6.0,26,144,1004.0,253,734.0,17,1468.4,24.6,49.2,213.3,1181.3,8236.3,2075.5,6021.3,139.5,lake city
Lake Clarke Shores Police Dept,FL,12,3462.0,12.0,0,1.0,4,7,110.0,36,68.0,6,346.6,0.0,28.9,115.5,202.2,3177.4,1039.9,1964.2,173.3,lake clarke shores
Lake Hamilton Police Dept,FL,12,1264.0,4.0,0,0.0,0,4,60.0,17,36.0,7,316.5,0.0,0.0,0.0,316.5,4746.8,1344.9,2848.1,553.8,lake hamilton
Lake Helen Police Dept,FL,12,2661.0,9.0,0,1.0,0,8,63.0,20,39.0,4,338.2,0.0,37.6,0.0,300.6,2367.5,751.6,1465.6,150.3,lake helen
Lake Mary Police Dept,FL,12,14090.0,21.0,0,3.0,1,17,291.0,50,231.0,10,149.0,0.0,21.3,7.1,120.7,2065.3,354.9,1639.5,71.0,lake mary
Lake Park Police Dept,FL,12,8361.0,98.0,1,2.0,43,52,815.0,107,684.0,24,1172.1,12.0,23.9,514.3,621.9,9747.6,1279.8,8180.8,287.0,lake park
Lake Placid Police Dept,FL,12,2249.0,11.0,0,1.0,3,7,103.0,15,86.0,2,489.1,0.0,44.5,133.4,311.2,4579.8,667.0,3823.9,88.9,lake placid
Lake Wales Police Dept,FL,12,14595.0,46.0,2,4.0,10,30,468.0,161,288.0,19,315.2,13.7,27.4,68.5,205.5,3206.6,1103.1,1973.3,130.2,lake wales
Lake Worth Police Dept,FL,12,35788.0,461.0,8,35.0,194,224,1728.0,487,1113.0,128,1288.1,22.4,97.8,542.1,625.9,4828.4,1360.8,3110.0,357.7,lake worth
Lakeland Police Dept,FL,12,99934.0,465.0,10,33.0,144,278,5216.0,1296,3735.0,185,465.3,10.0,33.0,144.1,278.2,5219.4,1296.9,3737.5,185.1,lakeland
Lakeside Police Dept,FL,12,8.0,1.0,0,0.0,0,1,18.0,4,14.0,0,12500.0,0.0,0.0,0.0,12500.0,225000.0,50000.0,175000.0,0.0,lakeside
Lakewood,FL,12,146404.0,676.0,2,94.0,148,432,6705.0,917,5180.0,608,461.7,1.4,64.2,101.1,295.1,4579.8,626.3,3538.2,415.3,lakewood
Lamar  Police Dept,FL,12,8035.0,9.0,0,0.0,2,7,292.0,55,227.0,10,112.0,0.0,0.0,24.9,87.1,3634.1,684.5,2825.1,124.5,lamar
Lantana Police Dept,FL,12,10687.0,60.0,0,7.0,23,30,491.0,108,374.0,9,561.4,0.0,65.5,215.2,280.7,4594.4,1010.6,3499.6,84.2,lantana
Largo Police Dept,FL,12,78783.0,394.0,1,43.0,114,236,3117.0,574,2413.0,130,500.1,1.3,54.6,144.7,299.6,3956.4,728.6,3062.8,165.0,largo
Larimer County Sheriff Department,FL,12,,150.0,1,14.0,9,126,1005.0,208,740.0,57,,,,,,,,,,larimer county
Las Animas County Sheriff Department,FL,11,,0.0,0,0.0,0,0,1.0,0,1.0,0,,,,,,,,,,las animas county
Lauderdale Lakes,FL,12,33644.0,336.0,6,12.0,151,167,1676.0,638,931.0,107,998.7,17.8,35.7,448.8,496.4,4981.6,1896.3,2767.2,318.0,lauderdale lakes
Lauderdale-By-The-Sea Police Dept,FL,12,6252.0,23.0,0,1.0,6,16,152.0,27,116.0,9,367.9,0.0,16.0,96.0,255.9,2431.2,431.9,1855.4,144.0,lauderdale-by-the-sea
Lauderhill Police Dept,FL,12,69046.0,587.0,8,19.0,242,318,2934.0,1238,1511.0,185,850.2,11.6,27.5,350.5,460.6,4249.3,1793.0,2188.4,267.9,lauderhill
Laurel Police Dept,FL,12,3810.0,44.0,0,3.0,10,31,238.0,72,159.0,7,1154.9,0.0,78.7,262.5,813.6,6246.7,1889.8,4173.2,183.7,laurel
Leadville Police Dept,FL,12,2680.0,8.0,0,2.0,1,5,37.0,4,32.0,1,298.5,0.0,74.6,37.3,186.6,1380.6,149.3,1194.0,37.3,leadville
Lee County Sheriff Department,FL,12,,1241.0,17,66.0,340,818,8854.0,2771,5482.0,601,,,,,,,,,,lee county
Leesburg Police Dept,FL,12,20668.0,186.0,3,10.0,36,137,1049.0,222,779.0,48,899.9,14.5,48.4,174.2,662.9,5075.5,1074.1,3769.1,232.2,leesburg
Leon County Sheriff Department,FL,12,,240.0,5,13.0,31,191,1577.0,641,837.0,99,,,,,,,,,,leon county
Levy County Sheriff Department,FL,12,,87.0,0,18.0,3,66,540.0,183,324.0,33,,,,,,,,,,levy county
Lewes Police Dept,FL,12,2820.0,9.0,0,1.0,1,7,64.0,11,51.0,2,319.1,0.0,35.5,35.5,248.2,2269.5,390.1,1808.5,70.9,lewes
Liberty County Sheriff Department,FL,12,,13.0,1,1.0,0,11,53.0,22,31.0,0,,,,,,,,,,liberty county
Lighthouse Point Police Dept,FL,12,10680.0,12.0,0,0.0,6,6,327.0,69,241.0,17,112.4,0.0,0.0,56.2,56.2,3061.8,646.1,2256.6,159.2,lighthouse point
Limon Police Dept,FL,12,1900.0,7.0,0,0.0,0,7,16.0,0,14.0,2,368.4,0.0,0.0,0.0,368.4,842.1,0.0,736.8,105.3,limon
Lincoln County Sheriff Department,FL,12,,1.0,0,0.0,0,1,28.0,9,18.0,1,,,,,,,,,,lincoln county
Littleton Police Dept,FL,12,43229.0,56.0,4,20.0,15,17,1248.0,256,911.0,81,129.5,9.3,46.3,34.7,39.3,2887.0,592.2,2107.4,187.4,littleton
Live Oak Police Dept,FL,12,7012.0,61.0,0,0.0,12,49,317.0,166,144.0,7,869.9,0.0,0.0,171.1,698.8,4520.8,2367.4,2053.6,99.8,live oak
Log Lane Village Marshal'S Office,FL,3,891.0,0.0,0,0.0,0,0,0.0,0,0.0,0,,,,,,,,,,log lane village marshal's office
Logan County Sheriff Department,FL,12,,15.0,1,1.0,1,12,98.0,40,54.0,4,,,,,,,,,,logan county
Longboat Key Police Dept,FL,12,7048.0,2.0,0,0.0,1,1,123.0,17,106.0,0,28.4,0.0,0.0,14.2,14.2,1745.2,241.2,1504.0,0.0,longboat key
Longmont Police Dept,FL,12,88925.0,188.0,0,11.0,30,147,2169.0,359,1705.0,105,211.4,0.0,12.4,33.7,165.3,2439.1,403.7,1917.3,118.1,longmont
Longwood Police Dept,FL,12,13919.0,92.0,1,3.0,12,76,436.0,127,294.0,15,661.0,7.2,21.6,86.2,546.0,3132.4,912.4,2112.2,107.8,longwood
Louisville Police Dept,FL,1,18942.0,1.0,0,0.0,0,1,12.0,5,7.0,0,,,,,,,,,,louisville
Loveland Police Dept,FL,12,69147.0,145.0,0,22.0,22,101,1798.0,227,1525.0,46,209.7,0.0,31.8,31.8,146.1,2600.3,328.3,2205.4,66.5,loveland
Lynn Haven Police Dept,FL,12,18861.0,59.0,1,3.0,2,53,560.0,64,483.0,13,312.8,5.3,15.9,10.6,281.0,2969.1,339.3,2560.8,68.9,lynn haven
Madeira Beach Police Dep,FL,12,4325.0,36.0,1,3.0,2,30,188.0,36,146.0,6,832.4,23.1,69.4,46.2,693.6,4346.8,832.4,3375.7,138.7,madeira beach police dep
Madison Police Dept,FL,12,18288.0,2.0,0,0.0,1,1,116.0,25,89.0,2,10.9,0.0,0.0,5.5,5.5,634.3,136.7,486.7,10.9,madison
Madison County Sheriff Department,FL,12,,115.0,1,5.0,6,103,290.0,99,177.0,14,,,,,,,,,,madison county
Madison Police Dept,FL,12,2865.0,39.0,0,2.0,7,30,196.0,54,140.0,2,1361.3,0.0,69.8,244.3,1047.1,6841.2,1884.8,4886.6,69.8,madison
Maitland Police Dept,FL,12,16295.0,24.0,0,2.0,3,19,445.0,150,269.0,26,147.3,0.0,12.3,18.4,116.6,2730.9,920.5,1650.8,159.6,maitland
Manalapan Dept Of Public Safety,FL,12,417.0,0.0,0,0.0,0,0,24.0,2,22.0,0,0.0,0.0,0.0,0.0,0.0,5755.4,479.6,5275.8,0.0,manalapan dept of public safety
Manatee County Sheriff Department,FL,12,,1512.0,18,109.0,271,1114,8125.0,2010,5812.0,303,,,,,,,,,,manatee county
Manchester Police Dept,FL,12,58444.0,111.0,1,12.0,46,52,1797.0,288,1417.0,92,189.9,1.7,20.5,78.7,89.0,3074.7,492.8,2424.5,157.4,manchester
Mancos,FL,12,1348.0,1.0,0,0.0,0,1,1.0,1,0.0,0,74.2,0.0,0.0,0.0,74.2,74.2,74.2,0.0,0.0,mancos
Manitou Springs Police Dept,FL,12,5184.0,14.0,0,1.0,2,11,150.0,21,119.0,10,270.1,0.0,19.3,38.6,212.2,2893.5,405.1,2295.5,192.9,manitou springs
Margate Police Dept,FL,12,55010.0,144.0,3,6.0,42,93,1113.0,309,743.0,61,261.8,5.5,10.9,76.3,169.1,2023.3,561.7,1350.7,110.9,margate
Marianna Police Dept,FL,12,6125.0,59.0,0,3.0,15,41,182.0,55,127.0,0,963.3,0.0,49.0,244.9,669.4,2971.4,898.0,2073.5,0.0,marianna
Marion County Sheriff Department,FL,12,,1215.0,14,122.0,62,1017,3986.0,1293,2527.0,166,,,,,,,,,,marion county
Martin County Sheriff Department,FL,12,,339.0,4,31.0,78,226,2557.0,623,1825.0,109,,,,,,,,,,martin county
Mascotte Police Dept,FL,12,5246.0,23.0,0,4.0,2,17,160.0,62,91.0,7,438.4,0.0,76.2,38.1,324.1,3049.9,1181.9,1734.7,133.4,mascotte
Medley Police Dept,FL,12,869.0,11.0,1,0.0,0,10,219.0,22,171.0,26,1265.8,115.1,0.0,0.0,1150.7,25201.4,2531.6,19677.8,2991.9,medley
Meeker Police Dept,FL,12,2554.0,2.0,0,0.0,0,2,27.0,9,17.0,1,78.3,0.0,0.0,0.0,78.3,1057.2,352.4,665.6,39.2,meeker
Melbourne Police Dept,FL,12,77133.0,658.0,6,48.0,133,471,3374.0,648,2607.0,119,853.1,7.8,62.2,172.4,610.6,4374.3,840.1,3379.9,154.3,melbourne
Melbourne Beach Police Dept,FL,12,3144.0,3.0,0,0.0,2,1,53.0,36,15.0,2,95.4,0.0,0.0,63.6,31.8,1685.8,1145.0,477.1,63.6,melbourne beach
Melbourne Village Police,FL,12,672.0,0.0,0,0.0,0,0,19.0,3,14.0,2,0.0,0.0,0.0,0.0,0.0,2827.4,446.4,2083.3,297.6,melbourne village police
Meriden Police Dept,FL,12,60934.0,222.0,5,25.0,76,116,1812.0,421,1223.0,168,364.3,8.2,41.0,124.7,190.4,2973.7,690.9,2007.1,275.7,meriden
Mesa County Sheriff Department,FL,12,,194.0,3,54.0,13,124,1303.0,224,960.0,119,,,,,,,,,,mesa county
Mexico Beach Police Dept,FL,12,1093.0,6.0,0,0.0,1,5,40.0,4,35.0,1,548.9,0.0,0.0,91.5,457.5,3659.7,366.0,3202.2,91.5,mexico beach
Miami Police Dept,FL,12,414327.0,4856.0,69,65.0,2096,2626,22271.0,4255,15305.0,2711,1172.0,16.7,15.7,505.9,633.8,5375.2,1027.0,3693.9,654.3,miami
Miami Beach Police Dept,FL,12,91066.0,941.0,5,42.0,407,487,9028.0,1048,7536.0,444,1033.3,5.5,46.1,446.9,534.8,9913.7,1150.8,8275.3,487.6,miami beach
Miami Shores Police Dept,FL,12,10866.0,49.0,1,2.0,25,21,557.0,131,401.0,25,450.9,9.2,18.4,230.1,193.3,5126.1,1205.6,3690.4,230.1,miami shores
Miami Springs Police Dept,FL,12,14322.0,38.0,0,0.0,11,27,433.0,98,305.0,30,265.3,0.0,0.0,76.8,188.5,3023.3,684.3,2129.6,209.5,miami springs
Metro-Dade Police Department,FL,12,,6046.0,81,267.0,1686,4012,41270.0,7851,29989.0,3430,,,,,,,,,,metro-dade
Middlebury Police Dept,FL,12,7583.0,4.0,0,2.0,1,1,70.0,20,45.0,5,52.7,0.0,26.4,13.2,13.2,923.1,263.7,593.4,65.9,middlebury
Middletown Police Dept,FL,12,47878.0,72.0,1,1.0,25,45,900.0,156,661.0,83,150.4,2.1,2.1,52.2,94.0,1879.8,325.8,1380.6,173.4,middletown
Middletown,FL,12,19203.0,59.0,0,3.0,22,34,468.0,60,387.0,21,307.2,0.0,15.6,114.6,177.1,2437.1,312.5,2015.3,109.4,middletown
Milford Police Dept,FL,12,52817.0,46.0,0,2.0,33,11,1586.0,150,1371.0,65,87.1,0.0,3.8,62.5,20.8,3002.8,284.0,2595.8,123.1,milford
Milford Police Dept,FL,12,9816.0,124.0,1,6.0,34,83,771.0,150,613.0,8,1263.2,10.2,61.1,346.4,845.6,7854.5,1528.1,6244.9,81.5,milford
Millsboro Police Dept,FL,12,3985.0,23.0,0,0.0,6,17,145.0,28,112.0,5,577.2,0.0,0.0,150.6,426.6,3638.6,702.6,2810.5,125.5,millsboro
Milton Police Dept,FL,12,2650.0,10.0,0,0.0,0,10,89.0,32,56.0,1,377.4,0.0,0.0,0.0,377.4,3358.5,1207.5,2113.2,37.7,milton
Milton Police Dept,FL,12,9107.0,25.0,0,0.0,4,21,332.0,79,242.0,11,274.5,0.0,0.0,43.9,230.6,3645.5,867.5,2657.3,120.8,milton
Mineral County Sheriff Department,FL,12,,0.0,0,0.0,0,0,1.0,0,0.0,1,,,,,,,,,,mineral county
Minneola Police Departme,FL,12,9661.0,14.0,0,2.0,3,9,166.0,48,112.0,6,144.9,0.0,20.7,31.1,93.2,1718.2,496.8,1159.3,62.1,minneola police departme
Minturn Police Dept,FL,12,1037.0,1.0,0,0.0,0,1,17.0,1,15.0,1,96.4,0.0,0.0,0.0,96.4,1639.3,96.4,1446.5,96.4,minturn
Miramar Police Dept,FL,12,125998.0,537.0,2,31.0,163,341,2984.0,862,1901.0,221,426.2,1.6,24.6,129.4,270.6,2368.3,684.1,1508.8,175.4,miramar
Moffat County Sheriff Department,FL,12,,3.0,0,0.0,0,3,23.0,10,13.0,0,,,,,,,,,,moffat county
Monroe Police Dept,FL,12,19728.0,3.0,0,1.0,1,1,159.0,41,115.0,3,15.2,0.0,5.1,5.1,5.1,806.0,207.8,582.9,15.2,monroe
Monroe County Sheriff Department,FL,12,,183.0,2,12.0,15,154,1770.0,344,1378.0,48,,,,,,,,,,monroe county
Monte Vista Police Dept,FL,12,4495.0,13.0,2,1.0,5,5,206.0,60,143.0,3,289.2,44.5,22.2,111.2,111.2,4582.9,1334.8,3181.3,66.7,monte vista
Montezuma County Sheriff Department,FL,12,,32.0,1,1.0,2,28,112.0,41,60.0,11,,,,,,,,,,montezuma county
Monticello Police Dept,FL,12,2521.0,16.0,0,0.0,2,14,36.0,27,6.0,3,634.7,0.0,0.0,79.3,555.3,1428.0,1071.0,238.0,119.0,monticello
Montrose County Sheriff Department,FL,12,,30.0,1,4.0,0,25,232.0,91,123.0,18,,,,,,,,,,montrose county
Montrose Police Dept,FL,12,19274.0,42.0,1,0.0,3,38,693.0,112,555.0,26,217.9,5.2,0.0,15.6,197.2,3595.5,581.1,2879.5,134.9,montrose
Monument,FL,12,5744.0,2.0,0,1.0,0,1,196.0,73,114.0,9,34.8,0.0,17.4,0.0,17.4,3412.3,1270.9,1984.7,156.7,monument
Morgan County Sheriff Department,FL,12,,8.0,0,0.0,0,8,101.0,23,74.0,4,,,,,,,,,,morgan county
Morrison Police Dept,FL,12,437.0,3.0,0,0.0,3,0,4.0,1,2.0,1,686.5,0.0,0.0,686.5,0.0,915.3,228.8,457.7,228.8,morrison
Mount Crested Butte Police Dept,FL,12,817.0,6.0,0,0.0,0,6,6.0,1,5.0,0,734.4,0.0,0.0,0.0,734.4,734.4,122.4,612.0,0.0,mount crested butte
Mount Dora Police Dept,FL,12,12705.0,67.0,0,4.0,9,54,441.0,88,336.0,17,527.4,0.0,31.5,70.8,425.0,3471.1,692.6,2644.6,133.8,mount dora
Mountain View Police Dept,FL,4,519.0,0.0,0,0.0,0,0,0.0,0,0.0,0,,,,,,,,,,mountain view
Naples City Police Dept,FL,12,20211.0,32.0,0,1.0,5,26,537.0,96,431.0,10,158.3,0.0,4.9,24.7,128.6,2657.0,475.0,2132.5,49.5,naples city
Naugatuck Police Dept,FL,12,31896.0,30.0,0,7.0,11,12,632.0,92,498.0,42,94.1,0.0,21.9,34.5,37.6,1981.4,288.4,1561.3,131.7,naugatuck
New Britain Police Dept,FL,12,73458.0,317.0,3,5.0,179,130,2917.0,775,1749.0,393,431.5,4.1,6.8,243.7,177.0,3971.0,1055.0,2381.0,535.0,new britain
New Canaan Police Dept,FL,12,19992.0,6.0,1,0.0,2,3,130.0,14,114.0,2,30.0,5.0,0.0,10.0,15.0,650.3,70.0,570.2,10.0,new canaan
New Castle Police Dept,FL,12,4570.0,7.0,0,0.0,0,7,56.0,7,44.0,5,153.2,0.0,0.0,0.0,153.2,1225.4,153.2,962.8,109.4,new castle
New Castle Police Dept,FL,12,5378.0,17.0,0,0.0,6,11,295.0,39,249.0,7,316.1,0.0,0.0,111.6,204.5,5485.3,725.2,4630.0,130.2,new castle
New Castle County Police Department,FL,12,,1076.0,14,66.0,284,712,6304.0,2213,3690.0,401,,,,,,,,,,new castle county
